Country Name;Life expectancy at birth, total (years);Unemployment, total (% of total labor force) (modeled ILO estimate);;;
Liberia;61,98021951;3,871000051;;;
Libya;71,83039024;19,21999931;;;
St. Lucia;75,2835122;20,56500053;;;
Latin America & Caribbean;75,27120874;6,978420427;;;
Least developed countries: UN classification;64,0646819;5,399618617;;;
Low income;62,06047438;5,47199326;;;
Sri Lanka;74,98895122;4,659999847;;;
Lesotho;53,57009756;26,52000046;;;
Lithuania;75,1195122;9,119999886;;;
Luxembourg;82,22926829;6,669000149;;;
Latvia;74,12439024;9,873000145;;;
Macao SAR, China;83,59490244;1,802000046;;;
Morocco;75,52014634;9,699999809;;;
Moldova;71,37121951;4,900000095;;;
Madagascar;65,50782927;1,799999952;;;
Maldives;77,12026829;3,867000103;;;
Middle East & North Africa;73,32241546;11,24569537;;;
Mexico;76,88136585;4,335999966;;;
Middle income;71,13718238;5,509370424;;;
Macedonia, FYR;75,52431707;26,06800079;;;
Mali;57,45770732;8,137999535;;;
Malta;81,94634146;5,390999794;;;
Myanmar;66,38563415;0,800000012;;;
Montenegro;76,86431707;17,52000046;;;
Mongolia;69,11587805;7,449999809;;;
Mozambique;57,60926829;24,66900063;;;
Mauritania;63,04636585;11,11800003;;;
Mauritius;74,35317073;7,920000076;;;
Malawi;62,54336585;6,637000084;;;
Malaysia;75,22019512;3,099999905;;;
Namibia;63,63643902;26,93700027;;;
New Caledonia;77,77317073;14,53999996;;;
Niger;59,68187805;2,59100008;;;
Nigeria;52,97792683;4,275000095;;;
Nicaragua;75,038;5,610000134;;;
Netherlands;81,70731707;6,872000217;;;
Norway;82,1;4,296000004;;;
Nepal;69,86985366;3,032000065;;;
New Zealand;81,45682927;5,364999771;;;
Oman;77,12182927;17,25200081;;;
Other small states;67,33112903;12,45384812;;;
Pakistan;66,33217073;5,900000095;;;
Panama;77,81743902;5,346000195;;;
Peru;74,71341463;4,422999859;;;
Philippines;69,00985366;6,289999962;;;
Papua New Guinea;65,38770732;2,483999968;;;
Poland;78,20487805;7,500999928;;;
Pre-demographic dividend;59,50281022;6,533404264;;;
Puerto Rico;79,59612195;12,02999973;;;
Korea, Dem. People’s Rep.;71,2387561;4,298999786;;;
Portugal;81,52195122;12,44400024;;;
Paraguay;73,04297561;5,289999962;;;
West Bank and Gaza;73,30168293;25,89999962;;;
Pacific island small states;70,75254202;14,53642246;;;
Post-demographic dividend;80,64646234;6,825496609;;;
French Polynesia;76,6915122;19,29400063;;;
Qatar;78,46270732;0,164000005;;;
Romania;74,96097561;6,811999798;;;
Russian Federation;70,90853659;5,566999912;;;
Rwanda;66,62087805;2,799999952;;;
South Asia;68,48545298;3,8700355;;;
Saudi Arabia;74,5744878;5,590000153;;;
Sudan;64,22941463;13,17800045;;;
Senegal;66,66143902;9,784999847;;;
Singapore;82,59512195;1,690000057;;;
Solomon Islands;70,47668293;31,40399933;;;
Sierra Leone;51,41285366;2,970000029;;;
El Salvador;73,00309756;6,175000191;;;
Somalia;55,87285366;6,665999889;;;
Serbia;75,48780488;17,65999985;;;
Sao Tome and Principe;66,41665854;13,55500031;;;
Suriname;71,28619512;8,385000229;;;
Slovak Republic;77,21219512;11,48099995;;;
Slovenia;81,07804878;8,961999893;;;
Sweden;82,55121951;7,43200016;;;
Swaziland;56,91236585;25,75300026;;;
Syrian Arab Republic;70,25265854;14,5369997;;;
Chad;52,55395122;5,78399992;;;
Togo;59,92370732;6,81099987;;;
Thailand;75,068;0,666000009;;;
Tajikistan;71,00712195;10,78299999;;;
Turkmenistan;67,64104878;8,715999603;;;
Timor-Leste;68,58002439;3,634000063;;;
Tonga;72,84017073;4,954999924;;;
Trinidad and Tobago;70,58885366;3,390000105;;;
Tunisia;75,49704878;15,15499973;;;
Turkey;75,40709756;10,23600006;;;
Tanzania;64,90331707;2,426000118;;;
Uganda;59,5087561;2,147000074;;;
Ukraine;71,1895122;9,140000343;;;
Uruguay;77,13163415;7,296999931;;;
United States;78,74146341;5,300000191;;;
Uzbekistan;71,14568293;8,918000221;;;
St. Vincent and the Grenadines;73,06495122;19,04199982;;;
Venezuela, RB;74,3915122;6,820000172;;;
Virgin Islands (U.S.);79,87317073;9,208000183;;;
Vietnam;75,89119512;2,119999886;;;
Vanuatu;71,98490244;5,278999805;;;
Samoa;74,83870732;7,729000092;;;
Yemen, Rep.;64,72568293;18,11199951;;;
South Africa;61,93409756;25,14999962;;;
Zambia;61,33958537;7,626999855;;;
Zimbabwe;60,27934146;5,114999771;;;
